No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
44116,2015,1,13,3,4,1,70.27,1032,6,NE,156,0,0
44117,2015,1,13,4,4,2,75.49,1032,6,NE,159,0,0
44118,2015,1,13,5,4,2,70.47,1031,7,NE,163,0,0
44119,2015,1,13,6,4,2,70.47,1030,7,NE,168,0,0
44120,2015,1,13,7,4,3,75.67,1031,7,NE,170,0,0
44121,2015,1,13,8,4,3,70.67,1031,8,NE,173,0,0
44122,2015,1,13,9,4,3,70.67,1031,8,NE,177,0,0
44123,2015,1,13,10,4,4,70.88,1032,9,NE,182,0,0
44125,2015,1,13,12,4,4,66.27,1029,10,NE,192,0,0
44126,2015,1,13,13,4,4,66.27,1028,10,NE,196,0,0
44127,2015,1,13,14,4,5,76.01,1028,9,NE,201,0.2,0.2
44128,2015,1,13,15,4,5,76.01,1028,9,NE,205,0.4,0.6
44129,2015,1,13,16,4,6,87.19,1028,8,NE,210,0.8,1.4
44130,2015,1,13,17,4,6,87.19,1027,8,NE,216,0.9,2.3
44131,2015,1,13,18,4,6,87.19,1027,8,NE,221,2,4.3
44132,2015,1,13,19,4,7,93.4,1027,8,NE,226,2,6.3
44133,2015,1,13,20,4,7,93.4,1027,8,NE,230,2.2,8.5
44134,2015,1,13,21,4,7,93.4,1027,8,NE,235,3.6,12.1
44135,2015,1,13,22,4,7,93.4,1027,8,NE,238,5.1,17.2
44136,2015,1,13,23,4,8,100,1026,8,NE,241,3.3,20.5
44137,2015,1,14,0,4,8,93.45,1025,9,NE,245,2,22.5
44138,2015,1,14,1,4,8,93.45,1024,9,NE,250,1.6,24.1
44139,2015,1,14,2,4,8,93.45,1024,9,NE,255,1.6,25.7
44140,2015,1,14,3,4,8,93.45,1024,9,NE,260,1.5,27.2
44141,2015,1,14,4,4,7,93.4,1024,8,NE,266,2.3,29.5
44142,2015,1,14,5,4,7,93.4,1024,8,NE,273,2.2,31.7
44143,2015,1,14,6,4,6,93.35,1025,7,NE,282,1.9,33.6
44144,2015,1,14,7,4,7,100,1025,7,NE,287,1.4,35
44145,2015,1,14,8,4,6,93.35,1025,7,NE,292,0.8,35.8
44146,2015,1,14,9,4,7,93.4,1026,8,NE,297,2,37.8
44147,2015,1,14,10,4,7,93.4,1026,8,NW,6,1.9,39.7
44148,2015,1,14,11,4,7,93.4,1025,8,NW,12,0.2,39.9
44149,2015,1,14,12,4,7,93.4,1025,8,NW,17,0,0
44150,2015,1,14,13,4,7,87.28,1024,9,NW,23,0.1,0.1
44151,2015,1,14,14,4,7,87.28,1024,9,NW,29,0.3,0.4
44152,2015,1,14,15,4,8,93.45,1025,9,NW,35,0.1,0.5
44153,2015,1,14,16,4,7,93.4,1025,8,NW,40,0,0
44154,2015,1,14,17,4,7,93.4,1026,8,NW,45,0.1,0.1
44155,2015,1,14,18,4,7,93.4,1026,8,NW,50,0.1,0.2
44156,2015,1,14,19,4,7,93.4,1026,8,NW,56,0,0
44157,2015,1,14,20,4,7,93.4,1026,8,NW,61,0.1,0.1
44158,2015,1,14,21,4,7,93.4,1026,8,NE,5,0,0
44159,2015,1,14,22,4,7,93.4,1027,8,NW,5,0,0
44160,2015,1,14,23,4,6,87.19,1027,8,NW,9,0,0
44161,2015,1,15,0,4,6,87.19,1026,8,NW,13,0.1,0.1
44162,2015,1,15,1,4,6,93.35,1026,7,NW,17,0.2,0.3
44163,2015,1,15,2,4,6,93.35,1027,7,NW,21,0,0
44164,2015,1,15,3,4,6,93.35,1027,7,NW,25,0,0
44165,2015,1,15,4,4,6,93.35,1026,7,NW,29,0,0
44166,2015,1,15,5,4,6,93.35,1027,7,NW,32,0.1,0.1
44167,2015,1,15,6,4,6,93.35,1027,7,NW,36,0,0
44168,2015,1,15,7,4,6,93.35,1028,7,NW,39,0,0
44169,2015,1,15,8,4,6,93.35,1028,7,NW,42,0.1,0.1
44170,2015,1,15,9,4,6,93.35,1029,7,NW,46,0,0
44171,2015,1,15,10,4,6,93.35,1029,7,NW,49,0,0
44172,2015,1,15,11,4,5,81.34,1029,8,NW,54,0,0
44173,2015,1,15,12,4,5,81.34,1028,8,NW,58,0,0
44174,2015,1,15,13,4,4,75.84,1027,8,NW,63,0,0
44175,2015,1,15,14,4,4,70.88,1027,9,NW,68,0,0
44176,2015,1,15,15,4,3,70.67,1026,8,NW,73,0,0
44177,2015,1,15,16,4,3,70.67,1026,8,NW,77,0,0
44178,2015,1,15,17,4,3,70.67,1026,8,NW,81,0,0
44179,2015,1,15,18,4,3,70.67,1027,8,NW,85,0,0
44180,2015,1,15,19,4,3,70.67,1027,8,NW,89,0,0
44181,2015,1,15,20,4,2,70.47,1027,7,NW,92,0,0
44182,2015,1,15,21,4,3,75.67,1027,7,NW,95,0,0
44183,2015,1,15,22,4,2,75.49,1027,6,NW,98,0,0
44184,2015,1,15,23,4,3,81.06,1026,6,NW,101,0,0
44185,2015,1,16,0,4,2,80.92,1026,5,NW,104,0,0
44186,2015,1,16,1,4,3,86.89,1026,5,NW,106,0,0
44187,2015,1,16,2,4,3,81.06,1026,6,NW,109,0,0
44188,2015,1,16,3,4,3,81.06,1026,6,NW,111,0,0
44189,2015,1,16,4,4,3,81.06,1026,6,NW,113,0,0
44190,2015,1,16,5,4,2,75.49,1025,6,NW,114,0,0
44191,2015,1,16,6,4,3,81.06,1026,6,SW,1,0,0
44192,2015,1,16,7,4,3,81.06,1026,6,SW,2,0,0
44193,2015,1,16,8,4,3,75.67,1026,7,NW,2,0,0
44194,2015,1,16,9,4,2,70.47,1027,7,NW,5,0,0
44195,2015,1,16,10,4,2,65.82,1027,8,NW,9,0,0
44196,2015,1,16,11,4,2,65.82,1026,8,NW,13,0,0
44197,2015,1,16,12,4,2,65.82,1026,8,NW,18,0,0
44198,2015,1,16,13,4,2,65.82,1025,8,NW,23,0,0
44199,2015,1,16,14,4,2,65.82,1025,8,NW,28,0,0
44200,2015,1,16,15,4,2,65.82,1025,8,NW,34,0,0
44201,2015,1,16,16,4,2,65.82,1025,8,NW,39,0,0
44202,2015,1,16,17,4,3,70.67,1026,8,NW,44,0,0
44203,2015,1,16,18,4,3,70.67,1027,8,NW,48,0,0
44204,2015,1,16,19,4,3,70.67,1028,8,NW,53,0,0
44205,2015,1,16,20,4,2,70.47,1029,7,NW,59,0,0
44206,2015,1,16,21,4,1,65.59,1030,7,NW,66,0,0
44207,2015,1,16,22,4,0,65.36,1030,6,NW,72,0,0
44208,2015,1,16,23,4,1,75.32,1031,5,NW,76,0,0
44209,2015,1,17,0,4,0,70.06,1031,5,NW,80,0,0
44210,2015,1,17,1,4,0,75.14,1031,4,NW,82,0,0
44211,2015,1,17,2,4,0,75.14,1031,4,NW,84,0,0
44212,2015,1,17,3,4,1,80.78,1031,4,NE,2,0,0
44213,2015,1,17,4,4,1,80.78,1032,4,NE,6,0,0
44214,2015,1,17,5,4,-1,69.85,1032,4,NE,12,0,0
44215,2015,1,17,6,4,-3,64.66,1033,3,NE,18,0,0
44216,2015,1,17,7,4,-3,69.43,1033,2,NE,23,0,0
44217,2015,1,17,8,4,-2,69.64,1034,3,NE,26,0,0
44218,2015,1,17,9,4,-2,64.9,1034,4,NE,31,0,0
44219,2015,1,17,10,4,-3,56.18,1035,5,NE,37,0,0
44220,2015,1,17,11,4,-2,56.45,1034,6,NE,42,0,0
44221,2015,1,17,12,4,-3,48.93,1033,7,NE,47,0,0
44222,2015,1,17,13,4,-3,48.93,1033,7,NE,51,0,0
44223,2015,1,17,14,4,-3,48.93,1032,7,NE,57,0,0
44224,2015,1,17,15,4,-3,52.41,1032,6,NE,61,0,0
44225,2015,1,17,16,4,-3,56.18,1032,5,NE,66,0,0
44226,2015,1,17,17,4,-3,56.18,1032,5,NE,71,0,0
44227,2015,1,17,18,4,-3,60.25,1032,4,NE,75,0,0
44228,2015,1,17,19,4,-3,56.18,1033,5,NE,78,0,0
44229,2015,1,17,20,4,-4,52.13,1033,5,SE,4,0,0
44230,2015,1,17,21,4,-3,60.25,1032,4,SE,7,0,0
44231,2015,1,17,22,4,-3,60.25,1032,4,SE,10,0,0
44232,2015,1,17,23,4,-3,60.25,1031,4,SE,11,0,0
44233,2015,1,18,0,4,-3,64.66,1031,3,cv,1,0,0
44235,2015,1,18,2,4,-2,69.64,1030,3,NE,3,0,0
44236,2015,1,18,3,4,-2,80.34,1029,1,NE,5,0,0
44237,2015,1,18,4,4,-2,74.78,1029,2,cv,0,0,0
44238,2015,1,18,5,4,-2,80.34,1029,1,cv,0,0,0
44239,2015,1,18,6,4,-2,80.34,1028,1,cv,0,0,0
44240,2015,1,18,7,4,0,86.58,1028,2,SW,1,0,0
44241,2015,1,18,8,4,0,75.14,1028,4,SE,2,0,0
44242,2015,1,18,9,4,0,70.06,1029,5,SW,3,0,0
44243,2015,1,18,10,4,0,65.36,1028,6,SW,6,0,0
44244,2015,1,18,11,4,0,56.99,1027,8,SW,11,0,0
44245,2015,1,18,12,4,0,56.99,1026,8,SW,17,0,0
44246,2015,1,18,13,4,0,56.99,1025,8,SW,22,0,0
44247,2015,1,18,14,4,-1,49.51,1024,9,NW,7,0,0
44248,2015,1,18,15,4,-1,46.29,1024,10,NW,13,0,0
44249,2015,1,18,16,4,-2,46,1024,9,NW,18,0,0
44250,2015,1,18,17,4,-2,46,1024,9,NW,22,0,0
44251,2015,1,18,18,4,-2,46,1025,9,NW,27,0,0
44252,2015,1,18,19,4,-2,49.22,1025,8,NW,31,0,0
44253,2015,1,18,20,4,-1,56.72,1026,7,SW,2,0,0
44254,2015,1,18,21,4,0,61.01,1027,7,SW,5,0,0
44255,2015,1,18,22,4,0,70.06,1027,5,SW,7,0,0
44256,2015,1,18,23,4,0,70.06,1028,5,SW,9,0,0
44257,2015,1,19,0,4,0,75.14,1027,4,NW,3,0,0
44258,2015,1,19,1,4,0,75.14,1027,4,SW,2,0,0
44259,2015,1,19,2,4,0,80.63,1028,3,SW,4,0,0
44260,2015,1,19,3,4,0,80.63,1028,3,SW,5,0,0
44261,2015,1,19,4,4,0,86.58,1027,2,SW,7,0,0
44262,2015,1,19,5,4,0,80.63,1027,3,cv,0,0,0
44263,2015,1,19,6,4,0,80.63,1028,3,NW,1,0,0
44264,2015,1,19,7,4,-1,80.49,1029,2,cv,1,0,0
44265,2015,1,19,8,4,0,70.06,1029,5,NW,2,0,0
44266,2015,1,19,9,4,-1,56.72,1029,7,NW,6,0,0
44267,2015,1,19,10,4,-2,46,1030,9,NW,11,0,0
44268,2015,1,19,11,4,-4,34.66,1029,11,NE,4,0,0
44269,2015,1,19,12,4,-8,25.53,1029,11,NE,8,0,0
44270,2015,1,19,13,4,-7,25.82,1028,12,NE,11,0,0
44271,2015,1,19,14,4,-7,25.82,1028,12,cv,3,0,0
44272,2015,1,19,15,4,-8,23.89,1027,12,NE,3,0,0
44273,2015,1,19,16,4,-9,23.61,1027,11,NW,3,0,0
44274,2015,1,19,17,4,-9,25.24,1028,10,NE,3,0,0
44275,2015,1,19,18,4,-9,26.99,1028,9,NE,5,0,0
44276,2015,1,19,19,4,-2,49.22,1028,8,SE,4,0,0
44277,2015,1,19,20,4,-3,45.7,1028,8,NE,3,0,0
44278,2015,1,19,21,4,-3,48.93,1028,7,NE,5,0,0
44279,2015,1,19,22,4,-3,48.93,1028,7,NE,7,0,0
44280,2015,1,19,23,4,-1,60.76,1028,6,SE,2,0,0
44281,2015,1,20,0,4,-1,60.76,1028,6,NE,4,0,0
44282,2015,1,20,1,4,0,65.36,1027,6,NE,7,0,0
44283,2015,1,20,2,4,0,65.36,1026,6,NE,10,0,0
44284,2015,1,20,3,4,0,65.36,1027,6,NE,11,0,0
44285,2015,1,20,4,4,0,65.36,1026,6,NE,13,0,0
44286,2015,1,20,5,4,0,70.06,1027,5,NE,14,0,0
44287,2015,1,20,6,4,1,70.27,1026,6,SE,4,0,0
44288,2015,1,20,7,4,1,70.27,1026,6,NE,3,0,0
44289,2015,1,20,8,4,1,65.59,1027,7,SE,3,0,0
44290,2015,1,20,9,4,2,65.82,1026,8,SE,8,0,0
44291,2015,1,20,10,4,2,65.82,1026,8,SE,14,0,0
44292,2015,1,20,11,4,3,66.05,1026,9,SE,19,0,0
44293,2015,1,20,12,4,3,61.76,1024,10,SE,25,0,0
44294,2015,1,20,13,4,3,57.77,1023,11,SE,31,0,0
44295,2015,1,20,14,4,3,57.77,1022,11,SE,36,0,0
44296,2015,1,20,15,4,3,57.77,1021,11,SE,42,0,0
44297,2015,1,20,16,4,3,57.77,1021,11,SE,47,0,0
44298,2015,1,20,17,4,4,66.27,1022,10,SE,51,0,0
44299,2015,1,20,18,4,4,66.27,1022,10,SE,56,0,0
44300,2015,1,20,19,4,4,66.27,1022,10,SE,61,0,0
44301,2015,1,20,20,4,4,66.27,1022,10,SE,66,0,0
44302,2015,1,20,21,4,5,71.07,1022,10,SE,71,0,0
44303,2015,1,20,22,4,5,76.01,1022,9,SE,75,0,0
44304,2015,1,20,23,4,6,81.48,1022,9,SE,81,0,0
44305,2015,1,21,0,4,6,81.48,1022,9,SW,5,0,0
44306,2015,1,21,1,4,7,87.28,1022,9,SW,9,0,0
44307,2015,1,21,2,4,7,87.28,1022,9,SW,12,0,0
44308,2015,1,21,3,4,6,87.19,1022,8,SW,15,0,0
44309,2015,1,21,4,4,6,93.35,1021,7,SW,17,0,0
44310,2015,1,21,5,4,5,93.29,1021,6,SW,19,0,0
44311,2015,1,21,6,4,5,93.29,1021,6,SW,21,0,0
44312,2015,1,21,7,4,5,93.29,1021,6,SW,23,0,0
44313,2015,1,21,8,4,6,93.35,1022,7,SW,24,0,0
44314,2015,1,21,9,4,7,87.28,1022,9,SW,28,0,0
44315,2015,1,21,10,4,6,71.27,1021,11,SW,31,0,0
44316,2015,1,21,11,4,4,50.92,1021,14,NW,4,0,0
44317,2015,1,21,12,4,3,47.46,1020,14,NW,9,0,0
44318,2015,1,21,13,4,2,41.43,1019,15,NW,15,0,0
44319,2015,1,21,14,4,1,38.56,1019,15,NW,21,0,0
44320,2015,1,21,15,4,1,38.56,1019,15,NW,27,0,0
44321,2015,1,21,16,4,0,38.26,1019,14,NW,32,0,0
44322,2015,1,21,17,4,1,43.9,1020,13,NW,36,0,0
44323,2015,1,21,18,4,2,50.36,1020,12,NW,41,0,0
44324,2015,1,21,19,4,-1,40.54,1021,12,NW,48,0,0
44325,2015,1,21,20,4,2,53.81,1022,11,NW,55,0,0
44326,2015,1,21,21,4,2,57.51,1023,10,NW,62,0,0
44327,2015,1,21,22,4,2,65.82,1023,8,NW,71,0,0
44328,2015,1,21,23,4,2,70.47,1024,7,NW,79,0,0
44329,2015,1,22,0,4,3,75.67,1024,7,NW,83,0,0
44330,2015,1,22,1,4,0,65.36,1025,6,NW,92,0,0
44331,2015,1,22,2,4,0,70.06,1025,5,NW,97,0,0
44332,2015,1,22,3,4,0,70.06,1025,5,NW,103,0,0
44333,2015,1,22,4,4,-1,69.85,1024,4,NW,110,0,0
44334,2015,1,22,5,4,-1,69.85,1024,4,NW,116,0,0
44335,2015,1,22,6,4,0,75.14,1025,4,NW,120,0,0
44336,2015,1,22,7,4,0,75.14,1026,4,NW,126,0,0
44337,2015,1,22,8,4,0,75.14,1026,4,NW,134,0,0
44338,2015,1,22,9,4,0,70.06,1026,5,NW,140,0,0
44339,2015,1,22,10,4,0,65.36,1026,6,NW,145,0,0
44340,2015,1,22,11,4,1,65.59,1026,7,NW,150,0,0
44341,2015,1,22,12,4,1,65.59,1025,7,NW,154,0,0
44342,2015,1,22,13,4,1,65.59,1025,7,NW,158,0,0
44343,2015,1,22,14,4,1,65.59,1024,7,NW,163,0,0
44344,2015,1,22,15,4,1,65.59,1025,7,NW,168,0,0
44345,2015,1,22,16,4,1,65.59,1025,7,NW,173,0,0
44346,2015,1,22,17,4,1,65.59,1025,7,NW,179,0,0
44347,2015,1,22,18,4,0,65.36,1026,6,NW,184,0,0
44348,2015,1,22,19,4,0,70.06,1026,5,NW,188,0,0
44349,2015,1,22,20,4,0,75.14,1026,4,NW,192,0,0
44350,2015,1,22,21,4,-1,74.96,1026,3,NE,3,0,0
44351,2015,1,22,22,4,-1,74.96,1026,3,NE,5,0,0
44352,2015,1,22,23,4,-1,74.96,1026,3,NE,6,0,0
44355,2015,1,23,2,4,-1,80.49,1025,2,NW,1,0,0
44356,2015,1,23,3,4,-1,86.47,1025,1,SW,1,0,0
44357,2015,1,23,4,4,-1,86.47,1024,1,SW,2,0,0
44358,2015,1,23,5,4,-1,92.96,1024,0,cv,0,0,0
44359,2015,1,23,6,4,0,93.02,1024,1,SE,1,0,0
44360,2015,1,23,7,4,-1,92.96,1025,0,SW,1,0,0
44361,2015,1,23,8,4,0,80.63,1025,3,SE,2,0,0
44362,2015,1,23,9,4,0,70.06,1025,5,SE,5,0,0
44363,2015,1,23,10,4,0,65.36,1025,6,SE,9,0,0
44364,2015,1,23,11,4,0,61.01,1024,7,SE,13,0,0
44365,2015,1,23,12,4,0,53.26,1023,9,SE,16,0,0
44366,2015,1,23,13,4,1,53.53,1022,10,SW,5,0,0
44367,2015,1,23,14,4,1,50.08,1021,11,SW,10,0,0
44368,2015,1,23,15,4,1,53.53,1021,10,SW,13,0,0
44369,2015,1,23,16,4,2,57.51,1021,10,SE,4,0,0
44370,2015,1,23,17,4,1,57.25,1021,9,SE,8,0,0
44371,2015,1,23,18,4,1,61.26,1021,8,SE,12,0,0
44372,2015,1,23,19,4,2,70.47,1022,7,SE,16,0,0
44373,2015,1,23,20,4,2,70.47,1022,7,SE,20,0,0
44374,2015,1,23,21,4,3,75.67,1022,7,SE,24,0,0
44375,2015,1,23,22,4,3,75.67,1022,7,SE,27,0,0
44376,2015,1,23,23,4,4,81.2,1022,7,SE,30,0,0
44377,2015,1,24,0,4,4,81.2,1022,7,SE,33,0,0
44378,2015,1,24,1,4,4,81.2,1021,7,SE,36,0,0
44379,2015,1,24,2,4,4,81.2,1021,7,SE,39,0,0
44380,2015,1,24,3,4,4,86.99,1021,6,SE,41,0,0
44381,2015,1,24,4,4,4,86.99,1021,6,SE,43,0,0
44382,2015,1,24,5,4,4,81.2,1021,7,SE,45,0,0
44383,2015,1,24,6,4,4,86.99,1021,6,SE,47,0,0
44384,2015,1,24,7,4,5,93.29,1022,6,SE,49,0,0
44385,2015,1,24,8,4,6,93.35,1022,7,SE,51,0,0
44386,2015,1,24,9,4,5,71.07,1022,10,SE,54,0,0
44387,2015,1,24,10,4,6,66.71,1023,12,SE,57,0,0
44388,2015,1,24,11,4,6,58.54,1022,14,SE,60,0,0
44389,2015,1,24,12,4,6,54.88,1022,15,SW,2,0,0
44390,2015,1,24,13,4,6,51.48,1021,16,SE,3,0,0
44391,2015,1,24,14,4,6,51.48,1020,16,SE,8,0,0
44392,2015,1,24,15,4,6,51.48,1020,16,SE,13,0,0
44393,2015,1,24,16,4,6,54.88,1020,15,SE,18,0,0
44394,2015,1,24,17,4,7,58.79,1020,15,SE,22,0,0
44395,2015,1,24,18,4,7,62.71,1021,14,SE,26,0,0
44396,2015,1,24,19,4,8,71.66,1021,13,SE,30,0,0
44397,2015,1,24,20,4,8,76.52,1021,12,SE,34,0,0
44398,2015,1,24,21,4,8,76.52,1021,12,SE,39,0,0
44399,2015,1,24,22,4,8,76.52,1020,12,SE,45,0,0
44400,2015,1,24,23,4,8,81.75,1020,11,SE,50,0,0
44401,2015,1,25,0,4,8,81.75,1020,11,SE,55,0,0
44402,2015,1,25,1,4,8,81.75,1020,11,SE,60,0,0
44403,2015,1,25,2,4,9,87.47,1020,11,SE,64,0,0
44404,2015,1,25,3,4,9,81.88,1020,12,SE,69,0,0
44405,2015,1,25,4,4,9,76.68,1019,13,SW,5,0,0
44406,2015,1,25,5,4,9,76.68,1019,13,SE,5,0,0
44407,2015,1,25,6,4,9,76.68,1019,13,SE,10,0,0
44408,2015,1,25,7,4,9,76.68,1020,13,SE,13,0,0
44409,2015,1,25,8,4,10,82.01,1020,13,SE,15,0,0
44410,2015,1,25,9,4,10,76.84,1020,14,SW,3,0,0
44411,2015,1,25,10,4,10,76.84,1020,14,SW,6,0,0
44412,2015,1,25,11,4,10,76.84,1020,14,NW,1,0,0
44413,2015,1,25,12,4,9,71.85,1020,14,NW,5,0,0
44415,2015,1,25,14,4,10,87.57,1020,12,NW,14,0.1,0.1
44416,2015,1,25,15,4,11,93.6,1019,12,NE,3,0,0
44417,2015,1,25,16,4,10,87.57,1020,12,NW,4,0,0
44418,2015,1,25,17,4,9,81.88,1020,12,NW,9,0,0
44419,2015,1,25,18,4,9,87.47,1021,11,NW,13,0,0
44420,2015,1,25,19,4,9,87.47,1022,11,NW,17,0,0
44421,2015,1,25,20,4,8,87.38,1022,10,NW,23,0,0
44422,2015,1,25,21,4,8,87.38,1022,10,NW,28,0,0
44423,2015,1,25,22,4,7,87.28,1023,9,NW,33,0,0
44424,2015,1,25,23,4,7,87.28,1023,9,NW,37,0,0
44425,2015,1,26,0,4,7,87.28,1022,9,NE,4,0,0
44426,2015,1,26,1,4,7,87.28,1023,9,NW,3,0,0
44427,2015,1,26,2,4,7,87.28,1024,9,NW,7,0,0
44428,2015,1,26,3,4,7,93.4,1024,8,NW,11,0,0
44429,2015,1,26,4,4,7,93.4,1022,8,NE,2,0,0
44430,2015,1,26,5,4,7,93.4,1023,8,NE,6,0,0
44431,2015,1,26,6,4,6,87.19,1023,8,NE,10,0,0
44432,2015,1,26,7,4,6,87.19,1023,8,NE,12,0,0
44433,2015,1,26,8,4,7,93.4,1024,8,NE,14,0,0
44434,2015,1,26,9,4,6,87.19,1024,8,NE,16,0,0
44435,2015,1,26,10,4,6,81.48,1024,9,NE,19,0,0
44436,2015,1,26,11,4,6,76.18,1024,10,NE,22,0,0
44437,2015,1,26,12,4,6,76.18,1023,10,NE,25,0,0
44438,2015,1,26,13,4,5,71.07,1023,10,NW,4,0,0
44439,2015,1,26,14,4,5,71.07,1022,10,NE,4,0,0
44440,2015,1,26,15,4,5,71.07,1022,10,NE,8,0,0
44441,2015,1,26,16,4,5,71.07,1022,10,NE,13,0,0
44442,2015,1,26,17,4,5,76.01,1023,9,NE,19,0,0
44443,2015,1,26,18,4,5,76.01,1024,9,NE,23,0,0
44444,2015,1,26,19,4,5,76.01,1024,9,NE,27,0,0
44445,2015,1,26,20,4,5,81.34,1025,8,NE,31,0,0
44446,2015,1,26,21,4,5,81.34,1025,8,NE,36,0,0
44447,2015,1,26,22,4,4,75.84,1025,8,NE,41,0,0
44448,2015,1,26,23,4,3,70.67,1025,8,NE,47,0,0
44449,2015,1,27,0,4,2,65.82,1026,8,NE,51,0,0
44450,2015,1,27,1,4,4,81.2,1026,7,NE,57,0,0
44451,2015,1,27,2,4,4,81.2,1026,7,NE,64,0,0
44452,2015,1,27,3,4,5,87.09,1026,7,NE,69,0,0
44453,2015,1,27,4,4,5,87.09,1026,7,NE,73,0.1,0.1
44454,2015,1,27,5,4,4,81.2,1026,7,NE,78,0,0
44455,2015,1,27,6,4,4,81.2,1027,7,NE,82,0.2,0.2
44456,2015,1,27,7,4,4,81.2,1027,7,NE,87,0,0
44457,2015,1,27,8,4,4,86.99,1028,6,NE,93,0.2,0.2
44458,2015,1,27,9,4,4,86.99,1028,6,NE,99,0,0
44459,2015,1,27,10,4,3,81.06,1028,6,NE,105,0,0
44460,2015,1,27,11,4,2,75.49,1028,6,NE,112,0,0
44461,2015,1,27,12,4,2,75.49,1028,6,NE,120,0,0
44462,2015,1,27,13,4,1,70.27,1027,6,NE,128,0,0
44463,2015,1,27,14,4,0,65.36,1027,6,NE,135,0,0
44464,2015,1,27,15,4,0,70.06,1028,5,NE,143,0,0
44465,2015,1,27,16,4,-1,69.85,1028,4,NE,150,0.1,0.1
44466,2015,1,27,17,4,1,86.68,1028,3,NE,155,0,0
44467,2015,1,27,18,4,0,80.63,1029,3,NE,161,0,0
44468,2015,1,27,19,4,-1,74.96,1029,3,NE,167,0,0
44469,2015,1,27,20,4,0,80.63,1029,3,NE,173,0,0
44470,2015,1,27,21,4,-1,80.49,1030,2,NE,179,0.2,0.2
44471,2015,1,27,22,4,0,93.02,1030,1,NE,182,0.3,0.5
44472,2015,1,27,23,4,0,93.02,1029,1,NE,185,0.5,1
44473,2015,1,28,0,4,0,93.02,1029,1,NE,187,0.1,1.1
44474,2015,1,28,1,4,0,86.58,1029,2,NE,193,0,0
44475,2015,1,28,2,4,-1,80.49,1030,2,NE,200,0,0
44476,2015,1,28,3,4,-1,80.49,1030,2,NE,206,0,0
44477,2015,1,28,4,4,-2,74.78,1029,2,NE,213,0,0
44478,2015,1,28,5,4,-2,74.78,1029,2,NE,220,0,0
44479,2015,1,28,6,4,-1,74.96,1029,3,NE,226,0,0
44480,2015,1,28,7,4,-1,74.96,1030,3,NE,230,0,0
44481,2015,1,28,8,4,-1,74.96,1030,3,NE,234,0,0
44482,2015,1,28,9,4,0,80.63,1030,3,NE,240,0,0
44483,2015,1,28,10,4,0,80.63,1030,3,NE,245,0,0
44484,2015,1,28,11,4,0,75.14,1030,4,NE,250,0,0
44485,2015,1,28,12,4,0,70.06,1029,5,NE,256,0,0
44486,2015,1,28,13,4,0,70.06,1028,5,NE,261,0,0
44487,2015,1,28,14,4,0,70.06,1028,5,NE,266,0,0
44488,2015,1,28,15,4,0,70.06,1028,5,NE,271,0,0
44489,2015,1,28,16,4,-1,65.13,1027,5,NE,276,0,0
44490,2015,1,28,17,4,-1,65.13,1027,5,NE,282,0,0
44491,2015,1,28,18,4,-1,65.13,1027,5,NE,287,0,0
44492,2015,1,28,19,4,0,70.06,1027,5,NE,292,0,0
44493,2015,1,28,20,4,0,70.06,1027,5,NE,297,0,0
44494,2015,1,28,21,4,0,70.06,1028,5,NE,302,0,0
44495,2015,1,28,22,4,0,70.06,1027,5,NE,306,0,0
44496,2015,1,28,23,4,0,70.06,1028,5,NE,310,0.1,0.1
44497,2015,1,29,0,4,0,70.06,1027,5,NE,314,0,0
44498,2015,1,29,1,4,1,80.78,1026,4,NE,318,0.4,0.4
44499,2015,1,29,2,4,2,86.79,1027,4,NE,322,0.5,0.9
44500,2015,1,29,3,4,2,86.79,1027,4,NE,327,0.5,1.4
44501,2015,1,29,4,4,2,93.13,1026,3,NE,332,0.4,1.8
44502,2015,1,29,5,4,1,86.68,1026,3,NE,338,0.3,2.1
44503,2015,1,29,6,4,2,93.13,1027,3,NE,342,0.1,2.2
44504,2015,1,29,7,4,2,93.13,1027,3,NE,346,0.1,2.3
44505,2015,1,29,8,4,2,93.13,1027,3,NE,350,0.2,2.5
44506,2015,1,29,9,4,2,86.79,1026,4,NE,354,0.1,2.6
44507,2015,1,29,10,4,3,93.19,1026,4,NE,358,0.1,2.7
44508,2015,1,29,11,4,3,93.19,1026,4,NE,362,0,0
44509,2015,1,29,12,4,3,86.89,1025,5,NE,366,0,0
44510,2015,1,29,13,4,3,86.89,1025,5,NE,371,0.1,0.1
44511,2015,1,29,14,4,4,93.24,1025,5,NE,375,0.1,0.2
44512,2015,1,29,15,4,4,93.24,1025,5,NE,380,0.5,0.7
44513,2015,1,29,16,4,4,93.24,1025,5,NE,384,1,1.7
44514,2015,1,29,17,4,3,93.19,1025,4,NE,389,1.5,3.2
44515,2015,1,29,18,4,2,86.79,1026,4,NE,394,0.7,3.9
44516,2015,1,29,19,4,2,86.79,1027,4,NE,398,0.2,4.1
44517,2015,1,29,20,4,2,93.13,1027,3,NE,403,0.3,4.4
44518,2015,1,29,21,4,2,93.13,1028,3,NW,5,0.2,4.6
44519,2015,1,29,22,4,2,93.13,1028,3,NW,11,0.1,4.7
44520,2015,1,29,23,4,2,93.13,1028,3,NW,16,0.2,4.9
44521,2015,1,30,0,4,2,93.13,1028,3,NW,21,0.1,5
